overlay,vol,sharpe,sortino,annual,total_ret,max_dd,dd_peak,dd_trough,dd_recovery,overall_wr,cash_pct,bear_long%,bear_short%,bear_cash%,bear_long_wr,bear_short_wr,bear_acc,bear_pnl,bull_pnl,bull_acc,final_equity
none,2.0x,1.1612,1.6379,0.4924,10.0307,-0.5104,2021-11-18,2022-02-16,2022-06-24,0.5312,0.0,62.33766233766234,37.66233766233766,0.0,0.4513888888888889,0.5172413793103449,0.4805194805194805,21160.009999999995,173112.23,0.5936675461741425,559394.82
none,1.0x,1.1783,1.8505,0.3397,4.7756,-0.3141,2021-11-18,2022-04-12,2022-06-17,0.5312,0.0,62.33766233766234,37.66233766233766,0.0,0.4513888888888889,0.5172413793103449,0.4805194805194805,16454.200000000033,86562.63,0.5936675461741425,290835.6
light,2.0x,1.0955,1.5198,0.4381,7.8336,-0.5104,2021-11-18,2022-02-16,2022-12-20,0.5312,0.0,62.33766233766234,37.66233766233766,0.0,0.4513888888888889,0.5172413793103449,0.4805194805194805,-17444.540000000008,173112.23,0.5936675461741425,447972.79
light,1.0x,1.1783,1.8505,0.3397,4.7756,-0.3141,2021-11-18,2022-04-12,2022-06-17,0.5312,0.0,62.33766233766234,37.66233766233766,0.0,0.4513888888888889,0.5172413793103449,0.4805194805194805,16454.200000000033,86562.63,0.5936675461741425,290835.6
moderate,2.0x,1.0726,1.458,0.4145,6.9989,-0.492,2021-11-18,2022-02-16,2022-09-14,0.5312,0.0,62.33766233766234,37.66233766233766,0.0,0.4513888888888889,0.5172413793103449,0.4805194805194805,-6122.809999999969,164685.90000000002,0.5936675461741425,402794.25
moderate,1.0x,1.1783,1.8505,0.3397,4.7756,-0.3141,2021-11-18,2022-04-12,2022-06-17,0.5312,0.0,62.33766233766234,37.66233766233766,0.0,0.4513888888888889,0.5172413793103449,0.4805194805194805,16454.200000000033,86562.63,0.5936675461741425,290835.6
aggressive,2.0x,1.0609,1.4639,0.3715,5.6459,-0.4925,2021-11-18,2022-04-12,2023-08-22,0.535,8.023872679045093,32.03463203463203,37.66233766233766,30.303030303030305,0.4189189189189189,0.5172413793103449,0.4805194805194805,-27302.249999999985,157443.53999999998,0.5936675461741425,334662.28
aggressive,1.0x,1.0696,1.6006,0.2879,3.5584,-0.3622,2021-11-18,2022-04-12,2023-08-18,0.535,8.023872679045093,32.03463203463203,37.66233766233766,30.303030303030305,0.4189189189189189,0.5172413793103449,0.4805194805194805,-7627.639999999992,86562.63,0.5936675461741425,229544.6
symmetric,2.0x,1.0726,1.458,0.4145,6.9989,-0.492,2021-11-18,2022-02-16,2022-09-14,0.5312,0.0,62.33766233766234,37.66233766233766,0.0,0.4513888888888889,0.5172413793103449,0.4805194805194805,-6122.809999999969,164685.90000000002,0.5936675461741425,402794.25
symmetric,1.0x,1.1783,1.8505,0.3397,4.7756,-0.3141,2021-11-18,2022-04-12,2022-06-17,0.5312,0.0,62.33766233766234,37.66233766233766,0.0,0.4513888888888889,0.5172413793103449,0.4805194805194805,16454.200000000033,86562.63,0.5936675461741425,290835.6
