date,signal,leverage_level,ticker,shares,prob_up,tqqq_alloc,sqqq_alloc,cash_alloc,vol_adjusted,actual_return,strategy_return,daily_pnl,equity,prediction,actual,correct,was_stopped
2020-01-02,LONG,100,TQQQ,1453,0.5579,0.33,0.0,0.67,False,-0.0091599322390053,-0.009553,-477.67,49522.33,1,0,0,False
2020-01-03,LONG,100,TQQQ,1479,0.6407,0.33,0.0,0.67,False,0.0064432016528335,0.005674,281.01,49803.34,1,1,1,False
2020-01-06,LONG,100,TQQQ,1460,0.6566,0.33,0.0,0.67,False,-0.0001391667268351,-0.000989,-49.28,49754.06,1,0,0,False
2020-01-07,LONG,100,TQQQ,1460,0.6869,0.33,0.0,0.67,False,0.0075163324194438,0.007006,348.57,50102.64,1,1,1,False
2020-01-08,LONG,100,TQQQ,1437,0.6724,0.33,0.0,0.67,False,0.0084734591222546,0.007744,387.99,50490.63,1,1,1,False
2020-01-09,CASH,0,,0,0.5356,0.0,0.0,1.0,False,-0.0025572528578264,0.0,0.0,50490.63,1,0,0,False
2020-01-10,LONG,100,TQQQ,1424,0.6646,0.33,0.0,0.67,False,0.0115368967493461,0.010964,553.58,51044.21,1,1,1,False
2020-01-13,CASH,0,,0,0.5342,0.0,0.0,1.0,False,-0.0039375203856251,0.0,0.0,51044.21,1,0,0,False
2020-01-14,LONG,100,TQQQ,1408,0.7553,0.33,0.0,0.67,True,0.0004089255595323,-0.000345,-17.6,51026.61,1,1,1,False
2020-01-15,LONG,100,TQQQ,1406,0.7934,0.33,0.0,0.67,True,0.0095835065081504,0.008645,441.13,51467.74,1,1,1,False
2020-01-16,CASH,0,,0,0.5342,0.0,0.0,1.0,False,0.0049487408203912,0.0,0.0,51467.74,1,1,1,False
2020-01-17,CASH,0,,0,0.5278,0.0,0.0,1.0,False,-0.0004476949652144,0.0,0.0,51467.74,1,0,0,False
2020-01-21,LONG,100,TQQQ,1360,0.6947,0.33,0.0,0.67,False,0.0026424056839673,0.001718,88.4,51556.14,1,1,1,False
2020-01-22,LONG,100,TQQQ,1353,0.8776,0.33,0.0,0.67,True,0.0032161577540852,0.002526,130.23,51686.37,1,1,1,False
2020-01-23,LONG,100,TQQQ,1344,0.5515,0.33,0.0,0.67,False,-0.0084153320293259,-0.009069,-468.72,51217.65,1,0,0,False
2020-01-24,LONG,100,TQQQ,1368,0.7553,0.33,0.0,0.67,True,-0.0206555496531761,-0.020934,-1072.17,50145.48,1,0,0,False
2020-01-27,SHORT,-100,SQQQ,1,0.3911,0.0,0.33,0.67,False,0.0153598842318996,-0.011841,-593.77,49551.71,0,1,0,False
2020-01-28,SHORT,-100,SQQQ,1,0.4499,0.0,0.33,0.67,False,0.0016256519092914,-0.001009,-50.02,49501.69,0,1,0,False
2020-01-29,LONG,100,TQQQ,1342,0.6869,0.33,0.0,0.67,False,0.0035616453433899,0.003185,157.69,49659.37,1,1,1,False
2020-01-30,LONG,100,TQQQ,1331,0.6185,0.33,0.0,0.67,False,-0.0158580354110829,-0.016752,-831.88,48827.5,1,0,0,False
2020-01-31,CASH,0,,0,0.4975,0.0,0.0,1.0,False,0.0151093141367135,0.0,0.0,48827.5,0,1,0,False
2020-02-03,CASH,0,,0,0.4658,0.0,0.0,1.0,False,0.0228887320178488,0.0,0.0,48827.5,0,1,0,False
2020-02-04,LONG,100,TQQQ,1232,0.8776,0.33,0.0,0.67,True,0.003297138066449,0.003312,161.7,48989.2,1,1,1,False
2020-02-05,SHORT,-100,SQQQ,1,0.4355,0.0,0.33,0.67,False,0.008632027036044,-0.005614,-275.02,48714.18,0,1,0,False
2020-02-06,LONG,100,TQQQ,1186,0.604,0.33,0.0,0.67,False,-0.0043008188134324,-0.004747,-231.27,48482.91,1,0,0,False
2020-02-07,LONG,100,TQQQ,1195,0.6724,0.33,0.0,0.67,False,0.0120855336358771,0.0114,552.69,49035.6,1,1,1,False
2020-02-10,LONG,100,TQQQ,1167,0.5501,0.33,0.0,0.67,False,0.0001724071471413,-0.000238,-11.67,49023.93,1,1,1,False
2020-02-11,LONG,100,TQQQ,1166,0.8315,0.33,0.0,0.67,True,0.0097410017634318,0.009187,450.37,49474.29,1,1,1,False
2020-02-12,CASH,0,,0,0.5039,0.0,0.0,1.0,False,-0.0012805867003309,0.0,0.0,49474.29,1,0,0,False
2020-02-13,CASH,0,,0,0.5198,0.0,0.0,1.0,False,0.0028636071524115,0.0,0.0,49474.29,1,1,1,False
2020-02-14,SHORT,-100,SQQQ,1,0.4277,0.0,0.33,0.67,False,0.0003835507079981,-0.000506,-25.02,49449.27,0,1,0,False
2020-02-18,LONG,100,TQQQ,1137,0.671,0.33,0.0,0.67,False,0.0095854813656268,0.009082,449.11,49898.39,1,1,1,False
2020-02-19,LONG,100,TQQQ,1115,0.5501,0.33,0.0,0.67,False,-0.0092834711279662,-0.009832,-490.6,49407.79,1,0,0,False
2020-02-20,LONG,100,TQQQ,1137,0.6424,0.33,0.0,0.67,False,-0.0192094494006517,-0.019331,-955.08,48452.71,1,0,0,False
2020-02-21,LONG,100,TQQQ,1182,0.604,0.33,0.0,0.67,False,-0.0385634460331422,-0.038483,-1864.6,46588.1,1,0,0,False
2020-02-24,LONG,100,TQQQ,1285,0.5579,0.33,0.0,0.67,False,-0.0271918527894553,-0.027237,-1268.94,45319.17,1,0,0,False
2020-02-25,LONG,100,TQQQ,1360,0.6199,0.33,0.0,0.67,False,0.0051539241097515,0.003939,178.5,45497.67,1,1,1,False
2020-02-26,LONG,100,TQQQ,1347,0.7091,0.33,0.0,0.67,True,-0.0500738939016507,-0.049923,-2271.38,43226.29,1,0,0,False
2020-02-27,LONG,100,TQQQ,1505,0.6551,0.33,0.0,0.67,False,0.0007780765540958,0.004439,191.89,43418.17,1,1,1,False
2020-02-28,LONG,100,TQQQ,1488,0.7631,0.33,0.0,0.67,True,0.0516034740510504,0.044339,1925.1,45343.28,1,1,1,False
2020-03-02,LONG,100,TQQQ,1367,0.6104,0.33,0.0,0.67,False,-0.0320672881439942,-0.031655,-1435.35,43907.92,1,0,0,False
2020-03-03,LONG,100,TQQQ,1462,0.604,0.33,0.0,0.67,False,0.0417223872036536,0.039374,1728.82,45636.74,1,1,1,False
2020-03-04,SHORT,-100,SQQQ,1,0.3752,0.0,0.33,0.67,False,-0.0303822053236404,0.023418,1068.73,46705.47,0,0,1,False
2020-03-05,LONG,100,TQQQ,1520,0.671,0.33,0.0,0.67,False,-0.0168722157342863,-0.01794,-837.9,45867.57,1,0,0,False
2020-03-06,LONG,100,TQQQ,1575,0.5659,0.33,0.0,0.67,False,-0.069464458472541,-0.067689,-3104.72,42762.85,1,0,0,False
2020-03-09,LONG,100,TQQQ,1843,0.7013,0.33,0.0,0.67,True,0.0544505496064735,0.050479,2158.61,44921.47,1,1,1,False
2020-03-10,LONG,100,TQQQ,1675,0.5515,0.33,0.0,0.67,False,-0.0435549427419755,-0.04316,-1938.81,42982.65,1,0,0,False
2020-03-11,LONG,100,TQQQ,1840,0.6566,0.33,0.0,0.67,False,-0.0916913932207581,-0.091288,-3923.8,39058.85,1,0,0,False
