date,signal,leverage_level,ticker,shares,prob_up,tqqq_alloc,sqqq_alloc,cash_alloc,vol_adjusted,actual_return,strategy_return,daily_pnl,equity,prediction,actual,correct,was_stopped
2020-01-02,SHORT,-100,SQQQ,1,0.2698,0.0,0.33,0.67,True,-0.0091599322390052,0.007125,356.23,50356.23,0,0,1,False
2020-01-03,LONG,100,TQQQ,1504,0.6376,0.33,0.0,0.67,False,0.0064432016528335,0.005675,285.76,50641.99,1,1,1,False
2020-01-06,CASH,0,,0,0.5052,0.0,0.0,1.0,False,-0.0001391667268351,0.0,0.0,50641.99,1,0,0,False
2020-01-07,LONG,100,TQQQ,1486,0.734,0.33,0.0,0.67,True,0.0075163324194438,0.007006,354.78,50996.77,1,1,1,False
2020-01-08,LONG,100,TQQQ,1463,0.933,0.33,0.0,0.67,True,0.0084734591222546,0.007746,395.01,51391.78,1,1,1,False
2020-01-09,LONG,100,TQQQ,1438,0.8346,0.33,0.0,0.67,True,-0.0025572528578264,-0.003253,-167.17,51224.61,1,0,0,False
2020-01-10,LONG,100,TQQQ,1445,0.6165,0.33,0.0,0.67,False,0.0115368967493461,0.010966,561.74,51786.36,1,1,1,False
2020-01-13,SHORT,-100,SQQQ,1,0.2097,0.0,0.33,0.67,True,-0.0039375203856251,0.002896,149.98,51936.34,0,0,1,False
2020-01-14,LONG,100,TQQQ,1432,0.7997,0.33,0.0,0.67,True,0.0004089255595323,-0.000345,-17.9,51918.44,1,1,1,False
2020-01-15,LONG,100,TQQQ,1431,0.7843,0.33,0.0,0.67,True,0.0095835065081504,0.008648,448.98,52367.42,1,1,1,False
2020-01-16,SHORT,-100,SQQQ,1,0.277,0.0,0.33,0.67,True,0.0049487408203912,-0.003581,-187.52,52179.9,0,1,0,False
2020-01-17,SHORT,-100,SQQQ,1,0.3679,0.0,0.33,0.67,False,-0.0004476949652144,0.000479,24.98,52204.88,0,0,1,False
2020-01-21,LONG,100,TQQQ,1380,0.6376,0.33,0.0,0.67,False,0.0026424056839673,0.001718,89.7,52294.58,1,1,1,False
2020-01-22,LONG,100,TQQQ,1373,0.8764,0.33,0.0,0.67,True,0.0032161577540852,0.002527,132.15,52426.73,1,1,1,False
2020-01-23,SHORT,-100,SQQQ,1,0.2257,0.0,0.33,0.67,True,-0.0084153320293259,0.005841,306.23,52732.96,0,0,1,False
2020-01-24,LONG,100,TQQQ,1408,0.701,0.33,0.0,0.67,True,-0.0206555496531761,-0.020927,-1103.52,51629.44,1,0,0,False
2020-01-27,SHORT,-100,SQQQ,1,0.2717,0.0,0.33,0.67,True,0.0153598842318996,-0.011501,-593.77,51035.67,0,1,0,False
2020-01-28,LONG,100,TQQQ,1388,0.6608,0.33,0.0,0.67,False,0.0016256519092914,0.000646,32.96,51068.63,1,1,1,False
2020-01-29,LONG,100,TQQQ,1384,0.9615,0.33,0.0,0.67,True,0.0035616453433899,0.003184,162.62,51231.25,1,1,1,False
2020-01-30,LONG,100,TQQQ,1373,0.925,0.33,0.0,0.67,True,-0.0158580354110829,-0.01675,-858.13,50373.13,1,0,0,False
2020-01-31,CASH,0,,0,0.4517,0.0,0.0,1.0,False,0.0151093141367135,0.0,0.0,50373.13,0,1,0,False
