date,signal,prob_up,actual_return,strategy_return,daily_pnl,equity,prediction,actual,correct
2020-01-02,SHORT,0.2857,-0.00916,0.009135,456.75,50456.75,0,0,1
2020-01-03,CASH,0.4286,0.006443,0.0,0.0,50456.75,0,1,0
2020-01-06,CASH,0.5714,-0.000139,0.0,0.0,50456.75,1,0,0
2020-01-07,LONG,0.8571,0.007516,0.007491,377.99,50834.73,1,1,1
2020-01-08,LONG,0.7143,0.008473,0.008448,429.48,51264.21,1,1,1
2020-01-09,CASH,0.5714,-0.002557,0.0,0.0,51264.21,1,0,0
2020-01-10,LONG,0.8571,0.011537,0.011512,590.15,51854.36,1,1,1
2020-01-13,CASH,0.5714,-0.003938,0.0,0.0,51854.36,1,0,0
2020-01-14,LONG,0.7143,0.000409,0.000384,19.91,51874.27,1,1,1
2020-01-15,LONG,0.8571,0.009584,0.009559,495.84,52370.11,1,1,1
2020-01-16,CASH,0.4286,0.004949,0.0,0.0,52370.11,0,1,0
2020-01-17,CASH,0.4286,-0.000448,0.0,0.0,52370.11,0,0,1
2020-01-21,LONG,0.7143,0.002642,0.002617,137.07,52507.18,1,1,1
2020-01-22,LONG,0.8571,0.003216,0.003191,167.56,52674.74,1,1,1
2020-01-23,CASH,0.4286,-0.008415,0.0,0.0,52674.74,0,0,1
2020-01-24,LONG,0.8571,-0.020656,-0.020681,-1089.34,51585.4,1,0,0
2020-01-27,SHORT,0.1429,0.01536,-0.015385,-793.64,50791.76,0,1,0
2020-01-28,CASH,0.5714,0.001626,0.0,0.0,50791.76,1,1,1
2020-01-29,LONG,0.7143,0.003562,0.003537,179.63,50971.39,1,1,1
2020-01-30,CASH,0.5714,-0.015858,0.0,0.0,50971.39,1,0,0
2020-01-31,CASH,0.4286,0.015109,0.0,0.0,50971.39,0,1,0
2020-02-03,CASH,0.4286,0.022889,0.0,0.0,50971.39,0,1,0
2020-02-04,LONG,0.8571,0.003297,0.003272,166.79,51138.18,1,1,1
2020-02-05,CASH,0.5714,0.008632,0.0,0.0,51138.18,1,1,1
2020-02-06,CASH,0.4286,-0.004301,0.0,0.0,51138.18,0,0,1
2020-02-07,CASH,0.5714,0.012086,0.0,0.0,51138.18,1,1,1
2020-02-10,CASH,0.5714,0.000172,0.0,0.0,51138.18,1,1,1
2020-02-11,LONG,0.8571,0.009741,0.009716,496.86,51635.04,1,1,1
2020-02-12,CASH,0.5714,-0.001281,0.0,0.0,51635.04,1,0,0
2020-02-13,CASH,0.5714,0.002864,0.0,0.0,51635.04,1,1,1
2020-02-14,SHORT,0.1429,0.000384,-0.000409,-21.1,51613.94,0,1,0
2020-02-18,LONG,0.8571,0.009585,0.00956,493.45,52107.4,1,1,1
2020-02-19,CASH,0.4286,-0.009283,0.0,0.0,52107.4,0,0,1
2020-02-20,LONG,0.7143,-0.019209,-0.019234,-1002.26,51105.14,1,0,0
2020-02-21,CASH,0.4286,-0.038563,0.0,0.0,51105.14,0,0,1
2020-02-24,CASH,0.5714,-0.027192,0.0,0.0,51105.14,1,0,0
2020-02-25,LONG,0.7143,0.005154,0.005129,262.11,51367.25,1,1,1
2020-02-26,LONG,0.7143,-0.050074,-0.050099,-2573.44,48793.81,1,0,0
2020-02-27,LONG,0.7143,0.000778,0.000753,36.75,48830.56,1,1,1
2020-02-28,LONG,0.7143,0.051603,0.051578,2518.61,51349.16,1,1,1
2020-03-02,CASH,0.4286,-0.032067,0.0,0.0,51349.16,0,0,1
2020-03-03,CASH,0.5714,0.041722,0.0,0.0,51349.16,1,1,1
2020-03-04,CASH,0.4286,-0.030382,0.0,0.0,51349.16,0,0,1
2020-03-05,LONG,0.7143,-0.016872,-0.016897,-867.66,50481.5,1,0,0
2020-03-06,CASH,0.4286,-0.069464,0.0,0.0,50481.5,0,0,1
2020-03-09,LONG,0.7143,0.054451,0.054426,2747.48,53228.99,1,1,1
2020-03-10,CASH,0.4286,-0.043555,0.0,0.0,53228.99,0,0,1
2020-03-11,LONG,0.7143,-0.091691,-0.091716,-4881.97,48347.02,1,0,0
2020-03-12,LONG,0.7143,0.084706,0.084681,4094.05,52441.07,1,1,1
2020-03-13,CASH,0.4286,-0.119788,0.0,0.0,52441.07,0,0,1
2020-03-16,LONG,0.7143,0.075842,0.075817,3975.91,56416.98,1,1,1
2020-03-17,CASH,0.5714,-0.030416,0.0,0.0,56416.98,1,0,0
2020-03-18,CASH,0.5714,0.006002,0.0,0.0,56416.98,1,1,1
2020-03-19,SHORT,0.2857,-0.039176,0.039151,2208.78,58625.76,0,0,1
2020-03-20,LONG,0.8571,-0.001406,-0.001431,-83.89,58541.87,1,0,0
2020-03-23,CASH,0.5714,0.077438,0.0,0.0,58541.87,1,1,1
2020-03-24,CASH,0.4286,-0.007405,0.0,0.0,58541.87,0,0,1
2020-03-25,CASH,0.5714,0.05266,0.0,0.0,58541.87,1,1,1
2020-03-26,CASH,0.4286,-0.034393,0.0,0.0,58541.87,0,0,1
2020-03-27,CASH,0.5714,0.036373,0.0,0.0,58541.87,1,1,1
2020-03-30,SHORT,0.1429,-0.00854,0.008515,498.48,59040.35,0,0,1
2020-03-31,CASH,0.4286,-0.042489,0.0,0.0,59040.35,0,0,1
2020-04-01,CASH,0.5714,0.020295,0.0,0.0,59040.35,1,1,1
2020-04-02,CASH,0.5714,-0.014193,0.0,0.0,59040.35,1,0,0
2020-04-03,CASH,0.5714,0.071495,0.0,0.0,59040.35,1,1,1
2020-04-06,CASH,0.4286,-0.000407,0.0,0.0,59040.35,0,0,1
2020-04-07,CASH,0.4286,0.021232,0.0,0.0,59040.35,0,1,0
2020-04-08,SHORT,0.2857,0.001446,-0.001471,-86.84,58953.51,0,1,0
2020-04-09,CASH,0.5714,0.010804,0.0,0.0,58953.51,1,1,1
2020-04-13,CASH,0.4286,0.043491,0.0,0.0,58953.51,0,1,0
2020-04-14,CASH,0.4286,-0.01147,0.0,0.0,58953.51,0,0,1
2020-04-15,LONG,0.7143,0.01824,0.018215,1073.84,60027.35,1,1,1
2020-04-16,CASH,0.5714,0.009566,0.0,0.0,60027.35,1,1,1
2020-04-17,LONG,0.7143,-0.011844,-0.011869,-712.49,59314.86,1,0,0
2020-04-20,CASH,0.4286,-0.0369,0.0,0.0,59314.86,0,0,1
