,feat_rsi_14,feat_macd_line,feat_macd_signal,feat_macd_hist,feat_roc_10,feat_roc_20,feat_stoch_k,feat_stoch_d,feat_williams_r
2006-01-04,,,,,,,,,
2006-01-05,,,,,,,,,
2006-01-06,,,,,,,,,
2006-01-09,,,,,,,,,
2006-01-10,,,,,,,,,
2006-01-11,,,,,,,,,
2006-01-12,,,,,,,,,
2006-01-13,,,,,,,,,
2006-01-17,,,,,,,,,
2006-01-18,,,,,,,,,
2006-01-19,,,,,1.8687080688338058,,,,
2006-01-20,,,,,-1.5982781445864969,,,,
2006-01-23,,,,,-3.3270899097682882,,,,
2006-01-24,38.62138213315933,,,,-3.29054818581538,,16.14335737904553,,-83.85664262095447
2006-01-25,36.21484321934054,,,,-3.7779913857946124,,8.07159315817654,,-91.92840684182346
2006-01-26,42.43801319826458,,,,-3.841703037685608,,21.076121187654064,15.097023908292044,-78.92387881234593
2006-01-27,52.14703162345958,,,,-2.0697660224382264,,46.18829554843555,25.11200329808872,-53.81170445156445
2006-01-30,53.357344428389595,,,,-1.8380663656150555,,49.77565127843672,39.01335600484211,-50.22434872156328
2006-01-31,50.11532773202808,,,,-1.6393460197476242,,41.255531739827326,45.73982618889986,-58.744468260172674
2006-02-01,52.565760979472145,,,,-0.14214062993386953,,48.4162958411152,46.48249295312642,-51.5837041588848
2006-02-02,41.92112291046002,,,,-2.56349986089633,-0.7426961208076374,17.76644340008094,35.81275699367449,-82.23355659991905
2006-02-03,36.31192613538217,,,,-0.8000044389204545,-2.3854962874039636,6.862712098942406,24.348483780046184,-93.13728790105759
2006-02-06,35.21742042360468,,,,-1.0906373401555334,-4.3814407650273415,9.865527617216433,11.498227705413262,-90.13447238278357
2006-02-07,33.441077153963064,,,,-1.9546273779837482,-5.180857608073433,7.983292274600653,8.237177330253164,-92.01670772539934
2006-02-08,41.708688998423,,,,-0.3877844254022038,-4.151125349009668,32.195066580324266,16.681295490713783,-67.80493341967573
2006-02-09,37.541540014273735,-0.3085250629913716,,,-2.021661054180362,-5.785697877735816,13.846171903885631,18.008176919603518,-86.15382809611437
2006-02-10,41.57147618292612,-0.31226199547861455,,,-2.730946352910312,-4.744188175644985,32.86386910401224,26.30170252940738,-67.13613089598776
2006-02-13,36.76837762230156,-0.34912392089240996,,,-4.0293837487019335,-5.79338736689054,10.79827425331368,19.16943842040385,-89.20172574668632
2006-02-14,42.95966595455525,-0.3413191860709901,,,-2.6190439860026045,-4.215454812410256,30.04708372808565,24.569742361803858,-69.95291627191435
2006-02-15,46.53477764998738,-0.31057408116186735,,,-2.348758345498431,-2.4875604355243848,42.25357157568409,27.699643185694473,-57.74642842431591
2006-02-16,51.33562262442456,-0.25263325471776454,,,0.2655095571839045,-2.3047966408415013,62.13600682941463,44.81222071106146,-37.86399317058537
2006-02-17,47.358571999559615,-0.23068394126627823,,,0.7087021713198144,-0.09697191642992424,47.26366931734072,50.551082574146484,-52.73633068265928
2006-02-21,42.42471538532649,-0.2475533925512181,,,-0.14702614866924463,-1.2360599667475987,25.654540189137098,45.01807211196415,-74.3454598108629
2006-02-22,48.79419022917822,-0.21726545104187522,-0.2694330275116031,0.05216757646972786,1.5505715896039316,-0.43436368518545276,54.94494899424233,42.62105283357338,-45.05505100575767
2006-02-23,47.571791169001855,-0.19983429593955293,-0.2555132811971931,0.055678985257640146,0.12166193093487435,-0.2665942804871385,68.99244749620009,49.86397889319318,-31.00755250379991
2006-02-24,48.94910508441823,-0.17512542096742578,-0.23943570915123963,0.06431028818381385,1.3510175618508524,-0.6979564882125853,77.51932482863445,67.15224043969229,-22.480675171365544
2006-02-27,54.35009104975,-0.11707549652879123,-0.21496366662674996,0.09788817009795872,1.855474006879494,-0.926144345750893,90.68337550823121,79.06504927768857,-9.316624491768787
2006-02-28,47.11496228276632,-0.11971950136513243,-0.19591483357442646,0.07619533220929403,1.5065368495123956,-2.5835510501719963,52.17390274184179,73.45886769290247,-47.82609725815821
2006-03-01,53.17782500242531,-0.07575421610127364,-0.17188271007979591,0.09612849397852227,1.8581865358912635,-0.809524172828311,86.95658354894657,76.6046205996732,-13.043416451053425
2006-03-02,53.48545794532286,-0.038052118858317385,-0.1451165918355002,0.10706447297718283,1.2876549593335118,-1.0913472894834897,88.81986105977418,75.98344911685419,-11.180138940225817
2006-03-03,50.620013521138894,-0.027224925035802983,-0.12153825847556077,0.09431333343975778,-0.21665900482503178,0.048275301994562744,67.2515872272267,81.00934394531582,-32.74841277277331
2006-03-06,46.58809482290153,-0.04714982272386692,-0.106660571325222,0.05951074860135508,-0.29118887296937485,0.415449636485064,42.50005960470162,66.1905026305675,-57.49994039529838
2006-03-07,44.068045594194345,-0.0813686106737066,-0.10160217919491893,0.02023356852121233,0.24539502851800404,0.09800808498930359,17.142732581109627,42.298126471012644,-82.85726741889037
2006-03-08,44.33825547618699,-0.1056554466455708,-0.1024128326850493,-0.003242613960521501,-0.9452239590734556,0.5906912563629534,24.503267759203915,28.04868664833839,-75.49673224079609
2006-03-09,40.6383689838201,-0.15139965001046107,-0.11221019615013166,-0.03918945386032942,-1.5309867430236468,-1.4111874401226918,3.2467098174143736,14.96423671924264,-96.75329018258563
2006-03-10,41.241853801278275,-0.18232281721996202,-0.12623272036409772,-0.0560900968558643,-1.6965510826908243,-0.3684542239128956,20.32982464965594,16.026600742091407,-79.67017535034405
2006-03-13,43.11032375310109,-0.19490005260730925,-0.13996618681274003,-0.054933865794569214,-2.4928113257370996,-0.6835907850472059,26.923173660978442,16.833236042682916,-73.07682633902157
2006-03-14,52.46964978559001,-0.14749030324332324,-0.14147101009885668,-0.006019293144466559,0.6569354447389741,2.1733692688038704,64.83519247456532,37.36273026173323,-35.164807525434675
2006-03-15,56.389003550851896,-0.08074470103539966,-0.12932574828616528,0.04858104725076562,0.14402634064038017,2.00488915460156,84.0660906892028,58.60815227491552,-15.93390931079721
2006-03-16,51.78989981840736,-0.05545138102284142,-0.11455087483350052,0.0590994938106591,-0.7675694539821877,0.5102018592107933,64.83519247456532,71.24549187944447,-35.164807525434675
2006-03-17,52.7387501497495,-0.028620840290422223,-0.09736486792488486,0.06874402763446263,0.0,-0.21665900482503178,69.23089821463766,72.71072712613527,-30.769101785362338
2006-03-20,53.95854514575505,0.0007034883077707832,-0.07775119667835374,0.07845468498612453,1.119491561850688,0.8250428540193729,74.72532079094208,69.59713716004836,-25.274679209057922
2006-03-21,48.078566047231526,-0.01142923287906683,-0.06448680391849636,0.05305757103942953,0.6364801614256853,0.8834370806173313,50.54956801690224,64.83526234082733,-49.45043198309776
2006-03-22,49.427397212850295,-0.012827592193808357,-0.05415496157355876,0.0413273693797504,0.8319064386435284,-0.12118089940506067,56.04399059320666,60.439626467017,-43.95600940679334
2006-03-23,47.82191117545861,-0.023349553833554637,-0.04799388002555794,0.024644326192003303,1.4067119654116544,-0.14581135131497197,49.450641581884156,52.01473339733102,-50.549358418115844
2006-03-24,50.83178269783145,-0.014575100472761449,-0.04131012411499864,0.02673502364223719,1.8244522650751782,0.09694841772804351,60.98905475139503,55.49456230882862,-39.01094524860497
2006-03-27,50.976833853801296,-0.006736539530990626,-0.03439540719819704,0.027658867667206412,1.5486751804057346,-0.9827416956273988,61.538622768297074,57.32610636719209,-38.461377231702926
2006-03-28,48.36518095978921,-0.01407985897509434,-0.030332297553576498,0.01625243857848216,-0.5559573318215932,0.09732583214701995,52.197852870036364,58.24184346324282,-47.802147129963636
2006-03-29,58.79577350929614,0.04254940714765354,-0.015755956613330492,0.05830536376098403,0.4793790565445647,0.6240958292978823,90.5758994996958,68.10412504600974,-9.424100500304204
2006-03-30,60.2374833615666,0.09680262783822258,0.006755760276980124,0.09004686756124246,1.6437039466580459,0.8635179232674113,85.11905032220562,75.96426756397926,-14.880949677794378
2006-03-31,58.21274314703386,0.1286329842079681,0.03113120506317772,0.09750177914479037,1.1580205872167242,1.1580205872167242,77.71090566896238,84.4686184969546,-22.28909433103762
2006-04-03,58.83363461820784,0.1560939377764683,0.05612375160583584,0.09997018617063246,1.0348984670792538,2.1659756299426163,74.83873667008758,79.22289755375186,-25.16126332991241
2006-04-04,61.656025959847646,0.19417762342561673,0.08373452596979203,0.1104430974558247,2.675744241765135,3.3292549844601456,89.67742411825076,80.74235548576691,-10.322575881749248
2006-04-05,66.0194237375149,0.2537113720991826,0.11772989519567015,0.13598147690351245,3.3972374593097405,4.257405735113276,96.7568860497437,87.09101561269402,-3.2431139502563067
2006-04-06,67.22440069330553,0.30703588916359337,0.1555910939892548,0.15144479517433856,3.9912372439968187,5.454094421287743,90.09437781716466,92.17622932838636,-9.905622182835351
2006-04-07,59.46543865903452,0.31260883192291544,0.18699464157598694,0.1256141903469285,2.4697348101846326,4.339246207945574,67.26458779878237,84.70528388856357,-32.73541220121763
2006-04-10,58.40307169846672,0.30862616946983223,0.211320947154756,0.09730522231507624,2.2996778423164326,3.8839675626954118,64.57394270426168,73.97763610673623,-35.42605729573832
2006-04-11,52.66179841138688,0.2748662232449419,0.2240300023727932,0.05083622087214873,1.8959620585048835,1.329463986610477,49.32729596069664,60.3886088212469,-50.67270403930336
2006-04-12,52.80876958705762,0.24608163552309037,0.22844032900285263,0.017641306520237737,0.02386005884389188,0.5033534955134333,45.631055376137006,53.17743134703178,-54.368944623862994
2006-04-13,55.346315310645934,0.23428636647712864,0.22960953649770782,0.004676829979420816,0.11890425200405998,1.7645626325450408,53.88340345471211,49.61391826384858,-46.11659654528789
2006-04-17,48.13224378223209,0.18727552316829588,0.22114273383182545,-0.03386721066352957,-0.6439314471704009,0.5066322813205276,32.52422150454802,44.012893445132384,-67.47577849545199
2006-04-18,58.67835348313855,0.21212707483522308,0.21933960203250497,-0.007212527197281882,1.1434005418542175,2.190132043613696,68.61703099033949,51.6748853165332,-31.382969009660513
2006-04-19,60.72107296727873,0.24433715109859122,0.22433911184572225,0.01999803925286897,1.0424128191182762,3.7460493618663904,75.90375012351807,59.01500087280186,-24.09624987648193
2006-04-20,58.27194322192342,0.2548225631881138,0.23043580211420056,0.024386761073913243,-0.25815679130696667,3.1303104687847414,66.86751279417409,70.46276463601055,-33.13248720582592
2006-04-21,50.90196929727406,0.2202476289199211,0.22839816747534467,-0.008150538555423553,-1.7084005383963614,2.2146503870353396,36.747028097775754,59.83943033848931,-63.252971902224246
2006-04-24,50.35328957637033,0.18745810449200917,0.22021015487867757,-0.032752050386668397,-0.8506630740727319,1.5980626140541392,34.337334169809196,45.98395835391968,-65.6626658301908
2006-04-25,49.07162965688432,0.15245253210424892,0.20665863032379184,-0.05420609821954292,-0.9228570874072108,1.3555980149538713,28.91563773241505,33.333333333333336,-71.08436226758495
2006-04-26,48.92265119860084,0.12249157615557493,0.18982521949014847,-0.06733364333457353,-0.1431239532786924,1.7501245293753946,28.31332915095402,30.52210035105942,-71.68667084904598
2006-04-27,54.83078868141605,0.12953062664725223,0.17776630092156923,-0.04823567427431699,0.7870212591357586,0.8110691017151943,52.409579027435946,36.54618197026834,-47.590420972564054
2006-04-28,48.62251901473239,0.10086287921445347,0.16238561658014608,-0.06152273736569261,-0.5938242495511615,-0.4756260798292491,32.167761280030234,37.630223152806735,-67.83223871996977
2006-05-01,43.33806329563031,0.04454641827877737,0.13881777691987235,-0.09427135864109498,-0.5280874256095285,-1.168618351777877,8.60909919992273,31.06214650246297,-91.39090080007728
2006-05-02,45.06319512708965,0.00869116089821631,0.11279245371554115,-0.10410129281732484,-2.143193280814013,-1.0242980225456062,15.893915930041912,18.890258803331623,-84.10608406995809
2006-05-03,44.271463632527364,-0.024285739568661313,0.08537681505870066,-0.10966255462736198,-2.7198119716555036,-1.7057508211856778,13.636543787248613,12.71318630573775,-86.36345621275139
2006-05-04,49.66817099646058,-0.022723062638910108,0.06375683951917852,-0.08647990215808862,-1.5764662798713236,-1.830553316414138,35.7144626481907,21.748307455160404,-64.28553735180931
2006-05-05,54.29450079815333,0.005084837259225594,0.05202243906718793,-0.04693760180796234,0.38095201764787945,-1.33395670706901,57.142892529638,35.49796632169244,-42.857107470362
2006-05-08,54.836408881832206,0.030004662779788305,0.04761888380970801,-0.017614221029919705,0.5719773205514911,-0.28355135337924314,59.740353032682336,50.86590273683701,-40.259646967317664
2006-05-09,52.171835941940586,0.036423288533335096,0.045379764754433435,-0.008956476221098339,0.40602337707039804,-0.520580725848637,49.35075872797238,55.41133476343091,-50.64924127202762
2006-05-10,46.539941538936525,0.011521157546994232,0.038608043312945595,-0.027086885765951363,-0.4538997578496554,-0.5963740718509909,27.08324503030524,45.39145226365332,-72.91675496969476
2006-05-11,36.01606602396418,-0.08230810850665193,0.014424812949026089,-0.09673292145567802,-3.596774026117047,-2.8380601432099026,5.914009368565264,27.449337708947628,-94.08599063143474
2006-05-12,31.48206555512276,-0.1987579694181747,-0.028211743524414072,-0.17054622589376062,-3.9665469723699243,-4.536816904129315,0.4328275146846168,11.143360637851709,-99.56717248531538
2006-05-15,31.250980371979807,-0.290121632362073,-0.08059372129194586,-0.20952791107012714,-3.0888002454514583,-3.6005761053625616,13.703660271634625,6.6834990516281705,-86.29633972836537
2006-05-16,28.9615280489446,-0.38232818340998875,-0.14094061371555444,-0.2413875696944343,-4.067385457859621,-6.12340680683598,3.3088276542988253,5.815105146872692,-96.69117234570118
2006-05-17,25.36007671878764,-0.4932897630091375,-0.21141044357427108,-0.28187931943486644,-5.230180515439225,-7.807741411296619,2.9508254131443175,6.65443777969259,-97.04917458685567
2006-05-18,23.768551648190794,-0.5961424358157288,-0.2883568420225626,-0.30778559379316617,-6.645953794652384,-8.117648853975183,1.5243675508703993,2.5946735394378497,-98.47563244912959
2006-05-19,29.09320238426845,-0.6459998051628943,-0.359885434650629,-0.28611437051226535,-6.665088670448627,-6.309527442568841,16.997129790526344,7.157440918180356,-83.00287020947366
2006-05-22,26.56234135174772,-0.7080131967455756,-0.4295109870696183,-0.2785022096759573,-7.6540272128927365,-7.125829192107831,9.562904464759368,9.361467268718707,-90.43709553524063
2006-05-23,24.287032923070143,-0.7788441363623306,-0.49937761692816085,-0.2794665194341698,-8.206471664621697,-7.83376848094232,0.5390960296292021,9.033043428304973,-99.4609039703708
2006-05-24,28.782073899973682,-0.8047221387732364,-0.560446521297176,-0.2442756174760604,-6.76745816832274,-7.190640449933802,15.308618485932039,8.470206326773539,-84.69138151406796
2006-05-25,36.71852130117818,-0.7751423732275171,-0.6033856916832442,-0.17175668154427293,-3.3873367973979156,-6.862275973409051,27.901266197160496,14.582993570907249,-72.09873380283949
2006-05-26,38.59691498778181,-0.732763356346581,-0.6292612246159115,-0.10350213173066947,-1.741719263899116,-5.639180123539666,31.898782097774053,25.036222260288866,-68.10121790222595
