,feat_above_sma200,feat_golden_cross,feat_adx_14,feat_days_below_sma200,feat_vix_percentile_60d,feat_trend_strength_20d
2006-01-04,0.0,0.0,0.0,0.0,,
2006-01-05,0.0,0.0,0.0,0.0,,
2006-01-06,0.0,0.0,0.0,0.0,,
2006-01-09,0.0,0.0,0.0,0.0,,
2006-01-10,0.0,0.0,0.0,0.0,,
2006-01-11,0.0,0.0,0.0,0.0,,
2006-01-12,0.0,0.0,0.0,0.0,,
2006-01-13,0.0,0.0,0.0,0.0,,
2006-01-17,0.0,0.0,0.0,0.0,,
2006-01-18,0.0,0.0,0.0,0.0,,
2006-01-19,0.0,0.0,0.0,0.0,,
2006-01-20,0.0,0.0,0.0,0.0,,
2006-01-23,0.0,0.0,0.0,0.0,,
2006-01-24,0.0,0.0,0.0,0.0,,
2006-01-25,0.0,0.0,0.0,0.0,,
2006-01-26,0.0,0.0,0.0,0.0,,
2006-01-27,0.0,0.0,0.0,0.0,,
2006-01-30,0.0,0.0,0.0,0.0,,
2006-01-31,0.0,0.0,0.0,0.0,,
2006-02-01,0.0,0.0,0.0,0.0,,-0.0011337955300428364
2006-02-02,0.0,0.0,0.0,0.0,,-0.0015906885047262435
2006-02-03,0.0,0.0,0.0,0.0,,-0.002150354314847758
2006-02-06,0.0,0.0,0.0,0.0,,-0.0024050563680427938
2006-02-07,0.0,0.0,0.0,0.0,,-0.002593734501991972
2006-02-08,0.0,0.0,0.0,0.0,,-0.0024839466056141763
2006-02-09,0.0,0.0,0.0,0.0,,-0.002369963134646107
2006-02-10,0.0,0.0,0.0,0.0,,-0.002120535700062026
2006-02-13,0.0,0.0,12.553006260173152,0.0,,-0.0020053211920923104
2006-02-14,0.0,0.0,12.386143088189764,0.0,,-0.001720129801947315
2006-02-15,0.0,0.0,11.72471384508627,0.0,,-0.0014778184145211946
2006-02-16,0.0,0.0,11.232984542187436,0.0,,-0.0009484450555020661
2006-02-17,0.0,0.0,10.77637876092423,0.0,,-0.0010012880200223578
2006-02-21,0.0,0.0,10.815431946045365,0.0,,-0.0012142611977424994
2006-02-22,0.0,0.0,10.290183155854582,0.0,,-0.001134379446753562
2006-02-23,0.0,0.0,9.802452136391713,0.0,,-0.001173041513154015
2006-02-24,0.0,0.0,9.492933595512596,0.0,,-0.0010523769867986682
2006-02-27,0.0,0.0,9.60312207057038,0.0,,-0.0005446259865698253
2006-02-28,0.0,0.0,8.954382905423296,0.0,,-0.00021971074325382388
2006-03-01,0.0,0.0,8.451220673440396,0.0,,0.0002712605308870089
2006-03-02,0.0,0.0,8.128489078815248,0.0,,0.0008380862862675966
2006-03-03,0.0,0.0,8.17997213817697,0.0,,0.0010729474112965653
2006-03-06,0.0,0.0,7.914841214970688,0.0,,0.0009925022806343037
2006-03-07,0.0,0.0,8.260589749728059,0.0,,0.0007752543180871266
2006-03-08,0.0,0.0,8.851161580534106,0.0,,0.0004878840667341399
2006-03-09,0.0,0.0,9.24731370594466,0.0,,0.0002534708582047494
2006-03-10,0.0,0.0,10.129885726453066,0.0,,-0.00010140060520703568
2006-03-13,0.0,0.0,10.547127798595605,0.0,,-0.000309957158906197
2006-03-14,0.0,0.0,9.794390735831824,0.0,,-0.0004410960614363742
2006-03-15,0.0,0.0,9.699852274577315,0.0,,-0.00032926220282759677
2006-03-16,0.0,0.0,9.987204277363821,0.0,,-0.00027443495286237954
2006-03-17,0.0,0.0,10.010567373182079,0.0,,-5.169640051702765e-05
2006-03-20,0.0,0.0,10.213100640781766,0.0,,8.233634335271631e-05
2006-03-21,0.0,0.0,11.025493758225014,0.0,,-0.00012345294595136907
2006-03-22,0.0,0.0,11.196530883926059,0.0,,-0.00011238961580546521
2006-03-23,0.0,0.0,11.250185948941537,0.0,,-0.00018408070967574047
2006-03-24,0.0,0.0,11.860602999148467,0.0,,-0.00013726805949712984
2006-03-27,0.0,0.0,12.446988056186084,0.0,,8.645544284180968e-05
2006-03-28,0.0,0.0,12.269060941774091,0.0,,2.9424987890637334e-05
2006-03-29,0.0,0.0,12.971922988941603,0.0,,0.00044786329254601747
2006-03-30,0.0,0.0,13.976893439882359,0.0,0.3333333333333333,0.0009103011093978213
2006-03-31,0.0,0.0,14.910080287184487,0.0,0.25,0.0012338857243094127
2006-04-03,0.0,0.0,16.099707270272106,0.0,0.3333333333333333,0.001417430874598845
2006-04-04,0.0,0.0,17.204360897424895,0.0,0.1,0.001550071787940918
2006-04-05,0.0,0.0,18.844689400485493,0.0,0.08333333333333333,0.0017680896378326199
2006-04-06,0.0,0.0,20.761829154478853,0.0,0.23333333333333334,0.0018445941509571601
2006-04-07,0.0,0.0,22.032576349609112,0.0,0.6166666666666667,0.0017427188154172564
2006-04-10,0.0,0.0,22.487243466515256,0.0,0.5666666666666667,0.0015872020443799205
2006-04-11,0.0,0.0,21.76327940889185,0.0,0.8666666666666667,0.0015281509489326701
2006-04-12,0.0,0.0,21.091027069670112,0.0,0.7666666666666667,0.0015713614790970134
2006-04-13,0.0,0.0,21.011795599754326,0.0,0.65,0.0015273324748346212
2006-04-17,0.0,0.0,19.82038391623113,0.0,0.7,0.0013584721818423852
2006-04-18,0.0,0.0,19.462035538410436,0.0,0.18333333333333332,0.0014502803568623298
2006-04-19,0.0,0.0,19.30831262054548,0.0,0.13333333333333333,0.0014293647177194043
