,feat_volume_ratio,feat_volume_trend_5d,feat_obv_roc_10d,feat_vol_price_divergence
2004-11-19,,,,1
2004-11-22,,,,1
2004-11-23,,,,1
2004-11-24,,,,1
2004-11-26,,-18023090.000000004,,0
2004-11-29,,-3091080.0000000065,,1
2004-11-30,,1218929.999999996,,0
2004-12-01,,11306079.999999994,,0
2004-12-02,,18912299.999999996,,0
2004-12-03,,7326709.999999993,,1
2004-12-06,,-2264330.000000005,,1
2004-12-07,,-1346090.0000000012,0.7014368585899808,1
2004-12-08,,-21655650.0,13.126557997791194,1
2004-12-09,,-2005720.0000000026,3.5216420197068166,0
2004-12-10,,4443059.9999999935,5.313542543749858,0
2004-12-13,,-1823080.000000007,5.194990102382146,1
2004-12-14,,10367779.999999998,3.3768075617597337,0
2004-12-15,,-7252570.000000011,6.3822073543314115,1
2004-12-16,,2073089.999999994,1.4645932869587222,0
2004-12-17,1.0976896986651428,4141749.9999999963,-0.565320191141645,1
2004-12-20,1.2005022816263606,3159289.999999992,-1.0976806356977715,1
2004-12-21,0.9368419185478982,-369290.0000000044,-0.5729241468209589,1
2004-12-22,0.856035454678881,-3636890.0000000065,-0.08691251844573103,1
2004-12-23,0.5289792088940422,-13542960.000000007,-0.36113666152488116,1
2004-12-27,0.7601903778403482,-11588250.000000002,-0.423453131018119,1
2004-12-28,0.7213285808252092,-4938350.0000000065,-0.34997966492564664,1
2004-12-29,0.5502473525690651,-4062530.0000000065,-0.3865894044327861,1
2004-12-30,0.5109516452346333,-2869170.0000000005,-0.3237702091122257,0
2004-12-31,0.5673447182201918,-6693630.0,-0.2450230461033671,1
2005-01-03,1.3097903523910432,7433309.999999997,-0.57757909893058,1
2005-01-04,1.6992984991933746,23931009.999999993,-3.0693475372534667,1
2005-01-05,1.5847259893427053,26492669.999999996,-4.966213061687176,0
2005-01-06,1.2058213982205646,14459919.999999994,-3.4984817475988814,0
2005-01-07,1.4516533481897935,1057759.9999999935,-2.172658814098001,0
2005-01-10,1.0451212947399307,-10053950.000000007,-3.6687708317703924,0
2005-01-11,1.2295168729982568,-5722380.000000004,-3.3217402016254947,1
2005-01-12,1.446408925161257,3293539.9999999935,-2.2547666198005394,0
2005-01-13,1.1501895941081182,-325250.00000000483,-3.114971570497975,0
2005-01-14,1.049724873870807,497699.9999999948,-3.1137546897034953,1
2005-01-18,1.0342185541335989,-6357080.000000001,-6.65827154739188,1
2005-01-19,1.1841714178394436,-5576980.000000004,-1.9248360422570596,1
2005-01-20,1.3359901332534299,4948309.9999999935,-0.8250458685310603,1
2005-01-21,1.4787643959457482,11942009.999999994,-0.677094457941552,1
