date,prediction,actual,prob_up,correct,actual_return
2020-01-02,0,0,0.4674015434959983,1,-0.0091599322390053
2020-01-03,1,1,0.6610118417730044,1,0.0064432016528335
2020-01-06,1,0,0.6868822587405898,0,-0.0001391667268351
2020-01-07,1,1,0.6553866549319547,1,0.0075163324194438
2020-01-08,1,1,0.6838074643903902,1,0.0084734591222546
2020-01-09,1,0,0.6299250495098977,0,-0.0025572528578264
2020-01-10,1,1,0.8099425012781526,1,0.0115368967493461
2020-01-13,0,0,0.3712683892800543,1,-0.0039375203856251
2020-01-14,1,1,0.7164829109259508,1,0.0004089255595323
2020-01-15,1,1,0.8369057084734155,1,0.0095835065081504
2020-01-16,0,1,0.3448191140872749,0,0.0049487408203912
2020-01-17,1,0,0.6704662957219942,0,-0.0004476949652144
2020-01-21,1,1,0.7246449084416847,1,0.0026424056839673
2020-01-22,1,1,0.6959345020291431,1,0.0032161577540852
2020-01-23,1,0,0.7815062461670506,0,-0.0084153320293259
2020-01-24,1,0,0.6240129450715275,0,-0.0206555496531761
2020-01-27,0,1,0.41967113114908894,0,0.0153598842318996
2020-01-28,1,1,0.7163448640339521,1,0.0016256519092914
2020-01-29,1,1,0.6871543404645541,1,0.0035616453433899
2020-01-30,1,0,0.6127742174927246,0,-0.0158580354110829
2020-01-31,1,1,0.6326291372081101,1,0.0151093141367135
2020-02-03,1,1,0.6689032661822782,1,0.0228887320178488
2020-02-04,1,1,0.6994999923191065,1,0.003297138066449
2020-02-05,1,1,0.8880802430143704,1,0.008632027036044
2020-02-06,0,0,0.46394095925897705,1,-0.0043008188134324
2020-02-07,1,1,0.5948107019840473,1,0.0120855336358771
2020-02-10,0,1,0.2673081071483025,0,0.0001724071471413
2020-02-11,1,1,0.6262682502749786,1,0.0097410017634318
2020-02-12,1,0,0.587682432074733,0,-0.0012805867003309
2020-02-13,1,1,0.6033556753413588,1,0.0028636071524115
2020-02-14,1,1,0.5287160226953048,1,0.0003835507079981
2020-02-18,1,1,0.7518444953626783,1,0.0095854813656268
2020-02-19,1,0,0.5358371490508228,0,-0.0092834711279662
2020-02-20,1,0,0.5114870664547002,0,-0.0192094494006517
2020-02-21,1,0,0.5175968230062776,0,-0.0385634460331422
2020-02-24,1,0,0.5272053670523925,0,-0.0271918527894553
2020-02-25,1,1,0.5136593676593765,1,0.0051539241097515
2020-02-26,1,0,0.5763375578309666,0,-0.0500738939016507
2020-02-27,1,1,0.5745323994168172,1,0.0007780765540958
2020-02-28,1,1,0.5949261180445689,1,0.0516034740510504
2020-03-02,0,0,0.4335251567804242,1,-0.0320672881439942
2020-03-03,1,1,0.5856839076482273,1,0.0417223872036536
2020-03-04,0,0,0.4863532557626851,1,-0.0303822053236404
2020-03-05,1,0,0.6143270410286263,0,-0.0168722157342863
2020-03-06,0,0,0.3664653168991925,1,-0.069464458472541
2020-03-09,1,1,0.5990563055670675,1,0.0544505496064735
2020-03-10,0,0,0.29866123687794344,1,-0.0435549427419755
2020-03-11,1,0,0.6049812483417197,0,-0.0916913932207581
2020-03-12,1,1,0.6061904094476366,1,0.0847055515072745
2020-03-13,0,0,0.19357588057567615,1,-0.119787843011381
2020-03-16,1,1,0.6840023890424203,1,0.0758416781242776
2020-03-17,0,0,0.1656560304613802,1,-0.0304161266316972
2020-03-18,1,1,0.579171018785948,1,0.0060022509737198
2020-03-19,0,0,0.34917784251012346,1,-0.0391759910525747
2020-03-20,1,0,0.5911484145777548,0,-0.0014059182112801
2020-03-23,0,1,0.26286209665647525,0,0.0774375010462105
2020-03-24,0,0,0.23227218375328687,1,-0.0074049906524753
2020-03-25,0,1,0.3821389685812189,0,0.0526603987055391
2020-03-26,0,0,0.34729765631248344,1,-0.0343928663608337
2020-03-27,1,1,0.5129317325607305,1,0.0363733951612099
2020-03-30,0,0,0.40529111842445403,1,-0.0085398846437412
2020-03-31,0,0,0.4430148071299348,1,-0.0424894779266066
2020-04-01,1,1,0.5646397090198971,1,0.0202950852821615
2020-04-02,0,0,0.4036183482395784,1,-0.0141927824719734
2020-04-03,1,1,0.5206776744772673,1,0.0714947971830028
2020-04-06,0,0,0.18980828625106427,1,-0.0004071754519252
2020-04-07,1,1,0.570355686974001,1,0.0212322482552225
2020-04-08,0,1,0.44162719333324785,0,0.0014458457174211
2020-04-09,1,1,0.7060454419503821,1,0.0108035356086395
2020-04-13,1,1,0.7524341775074406,1,0.0434911189683517
2020-04-14,1,0,0.6320003592310578,0,-0.0114698759915495
2020-04-15,1,1,0.7914201263941195,1,0.0182400203304811
2020-04-16,1,1,0.6807871655677828,1,0.0095662053277036
2020-04-17,1,0,0.8199404812162452,0,-0.0118444324979826
2020-04-20,1,0,0.8622828063141657,0,-0.0368995294764523
2020-04-21,1,1,0.6984022715449306,1,0.0296744684912222
2020-04-22,1,0,0.5942387063434437,0,-0.0021329902149047
2020-04-23,1,1,0.67255368155398,1,0.0157704351037961
2020-04-24,1,1,0.7092676498151514,1,0.0080434027785207
2020-04-27,1,0,0.7722084545441389,0,-0.0188346520902613
2020-04-28,1,1,0.8067498751123058,1,0.0354609929078013
2020-04-29,0,0,0.4019308858964678,1,-0.0004109421821492
2020-04-30,1,0,0.6746931606551607,0,-0.028185090063169
2020-05-01,1,1,0.8388139909147337,1,0.0116574018214863
2020-05-04,1,1,0.6005382072065015,1,0.011337247595794
2020-05-05,1,1,0.7208379816224637,1,0.0061563737726058
2020-05-06,1,1,0.8055076428949779,1,0.0128767457726883
2020-05-07,1,1,0.6107692182302347,1,0.0137047749786136
2020-05-08,1,1,0.6396176910793612,1,0.0089388708591124
2020-05-11,1,0,0.6549108709199336,0,-0.0209371009927797
2020-05-12,1,0,0.8531102075518453,0,-0.0125157520277728
2020-05-13,1,1,0.6007116387092519,1,0.0113522637673806
2020-05-14,1,1,0.6468416362716811,1,0.0064914683745209
2020-05-15,1,1,0.7713964172572804,1,0.0186320971188043
2020-05-18,1,0,0.729239898935883,0,-0.0025062308569047
2020-05-19,1,1,0.5983742107917921,1,0.0199682569298651
2020-05-20,0,0,0.39242993377456437,1,-0.0108907224992786
2020-05-21,1,1,0.6911561644007356,1,0.0034517785720111
