Signal Date,Trade Date,Prob Up (%),Prediction,Actual,Correct,Action,TQQQ Shares,SQQQ Shares,TQQQ Price,SQQQ Price,Position Value,Cash,Portfolio Value,Day P&L,QQQ Return (%)
2026-01-02,2026-01-05,61.5,UP,UP,YES,BUY 630 TQQQ,630,0,52.35,68.97,32980.5,67019.5,100000.0,787.5,0.79
2026-01-05,2026-01-06,76.8,UP,UP,YES,SELL 10 TQQQ,620,0,53.6,67.36,33232.0,67555.5,100787.5,874.2,0.88
2026-01-06,2026-01-07,53.2,UP,UP,YES,SELL 620 TQQQ,0,0,55.01,65.61,0.0,101661.7,101661.7,0.0,0.1
2026-01-07,2026-01-08,65.3,UP,DOWN,NO,BUY 608 TQQQ,608,0,55.17,65.42,33543.36,68118.34,101661.7,-595.84,-0.57
2026-01-08,2026-01-09,38.0,DOWN,UP,NO,SELL 608 TQQQ,0,500,54.19,66.59,33295.0,67770.86,101065.86,-960.0,1.0
2026-01-09,2026-01-12,92.6,UP,UP,YES,BUY 592 TQQQ,592,0,55.76,64.67,33009.92,67095.94,100105.86,76.96,0.08
2026-01-12,2026-01-13,75.7,UP,DOWN,NO,SELL 1 TQQQ,591,0,55.89,64.51,33030.99,67151.83,100182.82,-171.39,-0.15
2026-01-13,2026-01-14,33.7,DOWN,DOWN,YES,SELL 591 TQQQ,0,508,55.6,64.85,32943.8,67067.63,100011.43,1061.72,-1.07
2026-01-14,2026-01-15,65.3,UP,UP,YES,BUY 619 TQQQ,619,0,53.83,66.94,33320.77,67752.38,101073.15,340.45,0.36
2026-01-15,2026-01-16,37.2,DOWN,DOWN,YES,SELL 619 TQQQ,0,505,54.38,66.26,33461.3,67952.3,101413.6,161.6,-0.08
2026-01-16,2026-01-20,50.0,DOWN,DOWN,YES,SELL 505 SQQQ,0,0,54.14,66.58,0.0,101575.2,101575.2,0.0,-2.12
2026-01-20,2026-01-21,61.1,UP,UP,YES,BUY 660 TQQQ,660,0,50.73,70.77,33481.8,68093.4,101575.2,1320.0,1.35
