signal_date,next_date,version,prob_up,prediction,actual,correct,action,qqq_return,tqqq_return,sqqq_return,daily_pnl
2026-01-02,2026-01-05,v1,0.7616,UP,UP,1,TQQQ,0.007943,0.023878,-0.023343,716.33
2026-01-02,2026-01-05,v2,0.6154,UP,UP,1,TQQQ,0.007943,0.023878,-0.023343,716.33
2026-01-05,2026-01-06,v1,0.7027,UP,UP,1,TQQQ,0.008787,0.026306,-0.02598,789.18
2026-01-05,2026-01-06,v2,0.7685,UP,UP,1,TQQQ,0.008787,0.026306,-0.02598,789.18
2026-01-06,2026-01-07,v1,0.4291,DOWN,UP,0,CASH,0.000962,0.002909,-0.002896,0.0
2026-01-06,2026-01-07,v2,0.5316,UP,UP,1,CASH,0.000962,0.002909,-0.002896,0.0
2026-01-07,2026-01-08,v1,0.725,UP,DOWN,0,TQQQ,-0.005689,-0.017763,0.017884,-532.9
2026-01-07,2026-01-08,v2,0.6535,UP,DOWN,0,TQQQ,-0.005689,-0.017763,0.017884,-532.9
2026-01-08,2026-01-09,v1,0.6185,UP,UP,1,TQQQ,0.00996,0.028972,-0.028833,869.16
2026-01-08,2026-01-09,v2,0.3801,DOWN,UP,0,SQQQ,0.00996,0.028972,-0.028833,-864.99
2026-01-09,2026-01-12,v1,0.7408,UP,UP,1,TQQQ,0.00083,0.002331,-0.002474,69.94
2026-01-09,2026-01-12,v2,0.9257,UP,UP,1,TQQQ,0.00083,0.002331,-0.002474,69.94
2026-01-12,2026-01-13,v1,0.6185,UP,DOWN,0,TQQQ,-0.001483,-0.005189,0.00527,-155.66
2026-01-12,2026-01-13,v2,0.7569,UP,DOWN,0,TQQQ,-0.001483,-0.005189,0.00527,-155.66
2026-01-13,2026-01-14,v1,0.5342,UP,DOWN,0,CASH,-0.010683,-0.031834,0.032228,0.0
2026-01-13,2026-01-14,v2,0.3368,DOWN,DOWN,1,SQQQ,-0.010683,-0.031834,0.032228,966.85
2026-01-14,2026-01-15,v1,0.6869,UP,UP,1,TQQQ,0.003599,0.010217,-0.010158,306.52
2026-01-14,2026-01-15,v2,0.6534,UP,UP,1,TQQQ,0.003599,0.010217,-0.010158,306.52
2026-01-15,2026-01-16,v1,0.7616,UP,DOWN,0,TQQQ,-0.000836,-0.004413,0.004829,-132.4
2026-01-15,2026-01-16,v2,0.3724,DOWN,DOWN,1,SQQQ,-0.000836,-0.004413,0.004829,144.88
2026-01-16,2026-01-20,v1,0.671,UP,DOWN,0,TQQQ,-0.021247,-0.062985,0.062932,-1889.55
2026-01-16,2026-01-20,v2,0.4996,DOWN,DOWN,1,CASH,-0.021247,-0.062985,0.062932,0.0
2026-01-20,2026-01-21,v1,0.5804,UP,UP,1,TQQQ,0.013518,0.039424,-0.039565,1182.73
2026-01-20,2026-01-21,v2,0.6114,UP,UP,1,TQQQ,0.013518,0.039424,-0.039565,1182.73
2026-01-21,2026-01-22,v1,0.6551,UP,UP,1,TQQQ,0.007269,0.022189,-0.022069,665.66
2026-01-21,2026-01-22,v2,0.7853,UP,UP,1,TQQQ,0.007269,0.022189,-0.022069,665.66
2026-01-22,2026-01-23,v1,0.5882,UP,UP,1,TQQQ,0.003157,0.008905,-0.008425,267.16
2026-01-22,2026-01-23,v2,0.6244,UP,UP,1,TQQQ,0.003157,0.008905,-0.008425,267.16
2026-01-23,2026-01-26,v1,0.6263,UP,UP,1,TQQQ,0.0044,0.012872,-0.012745,386.17
2026-01-23,2026-01-26,v2,0.8707,UP,UP,1,TQQQ,0.0044,0.012872,-0.012745,386.17
2026-01-26,2026-01-27,v1,0.4499,DOWN,UP,0,CASH,0.009065,0.026507,-0.02674,0.0
2026-01-26,2026-01-27,v2,0.8186,UP,UP,1,TQQQ,0.009065,0.026507,-0.02674,795.21
2026-01-27,2026-01-28,v1,0.725,UP,UP,1,TQQQ,0.003311,0.009197,-0.008527,275.91
2026-01-27,2026-01-28,v2,0.8453,UP,UP,1,TQQQ,0.003311,0.009197,-0.008527,275.91
2026-01-28,2026-01-29,v1,0.5183,UP,DOWN,0,CASH,-0.005985,-0.017876,0.017359,0.0
2026-01-28,2026-01-29,v2,0.4618,DOWN,DOWN,1,CASH,-0.005985,-0.017876,0.017359,0.0
2026-01-29,2026-01-30,v1,0.3815,DOWN,DOWN,1,SQQQ,-0.012011,-0.036403,0.037257,1117.72
2026-01-29,2026-01-30,v2,0.1413,DOWN,DOWN,1,SQQQ,-0.012011,-0.036403,0.037257,1117.72
2026-01-30,2026-02-02,v1,0.6026,UP,UP,1,TQQQ,0.006866,0.02037,-0.020374,611.11
2026-01-30,2026-02-02,v2,0.5137,UP,UP,1,CASH,0.006866,0.02037,-0.020374,0.0
